name,partido,x,y
"MURPHY, John Michael",Democratic Party,-0.406,0.386
"COHEN, William Sebastian",Republican Party,0.1,-0.615
"NOLAN, Richard Michael",Democratic Party,-0.372,-0.372
"GILMAN, Benjamin Arthur",Republican Party,0.043,-0.425
"MOTTL, Ronald Milton",Democratic Party,0.021,-0.29
"RIEGLE, Donald Wayne, Jr.",Democratic Party,-0.426,-0.121
"COCHRAN, William Thad",Republican Party,0.287,0.051
"BRODHEAD, William McNulty",Democratic Party,-0.463,-0.427
"HECKLER, Margaret M.",Republican Party,-0.007,-0.682
"MATSUNAGA, Spark Masayuki",Democratic Party,-0.379,-0.032
"JARMAN, John",Republican Party,0.206,0.426
"HARSHA, William Howard",Republican Party,0.188,0.122
"ROE, Robert A.",Democratic Party,-0.326,0.123
"DICKINSON, William Louis",Republican Party,0.398,-0.057
"WHALEN, Charles William, Jr.",Republican Party,-0.139,-0.714
"RYAN, Leo Joseph",Democratic Party,-0.364,0.001
"KASTEN, Robert Walter, Jr.",Republican Party,0.261,-0.112
"KEYS, Martha Elizabeth",Democratic Party,-0.231,-0.471
"WAMPLER, William Creed",Republican Party,0.146,0.212
"SEBELIUS, Keith George",Republican Party,0.277,0.134
"OTTINGER, Richard Lawrence",Democratic Party,-0.391,-0.771
"MORGAN, Thomas Ellsworth",Democratic Party,-0.396,0.226
"PRESSLER, Larry Lee",Republican Party,0.213,-0.259
"GOODLING, William Franklin",Republican Party,0.336,-0.494
"MINISH, Joseph George",Democratic Party,-0.299,-0.098
"VANDER JAGT, Guy Adrian",Republican Party,0.247,-0.226
"SCHULZE, Richard Taylor",Republican Party,0.271,-0.036
"KREBS, John Hans",Democratic Party,-0.279,-0.12
"SMITH, Neal Edward",Democratic Party,-0.313,0.174
"BURKE, J. Herbert",Republican Party,0.241,0.071
"ROBINSON, James Kenneth",Republican Party,0.333,0.377
"RANGEL, Charles B.",Democratic Party,-0.514,-0.341
"HUTCHINSON, J. Edward",Republican Party,0.444,-0.036
"VAN DEERLIN, Lionel",Democratic Party,-0.401,-0.005
"TAYLOR, Gene",Republican Party,0.328,0.442
"SULLIVAN, Leonor Kretzer",Democratic Party,-0.386,0.299
"WILSON, Robert Carlton (Bob)",Republican Party,0.264,-0.265
"HÉBERT, Felix Edward",Democratic Party,-0.079,0.834
"FISHER, Joseph Lyman",Democratic Party,-0.298,-0.22
"JONES, James Robert",Democratic Party,-0.095,0.444
"BONKER, Don Leroy",Democratic Party,-0.336,-0.059
"DUNCAN, Robert Blackford",Democratic Party,-0.341,0.409
"EARLY, Joseph Daniel",Democratic Party,-0.254,-0.409
"BOLAND, Edward Patrick",Democratic Party,-0.306,-0.104
"CLAY, William Lacy, Sr.",Democratic Party,-0.49,-0.872
"FRASER, Donald MacKay",Democratic Party,-0.469,-0.466
"LLOYD, James Fredrick",Democratic Party,-0.218,-0.032
"DAVIS, Mendel Jackson",Democratic Party,-0.245,0.689
"REES, Thomas Mankell",Democratic Party,-0.484,-0.273
"BURKE, Yvonne Brathwaite",Democratic Party,-0.576,-0.177
"LENT, Norman Frederick",Republican Party,0.183,-0.24
"STAGGERS, Harley Orrin",Democratic Party,-0.345,0.326
"D'AMOURS, Norman Edward",Democratic Party,-0.17,-0.19
"BRINKLEY, Jack Thomas",Democratic Party,-0.073,0.701
"BOWEN, David Reece",Democratic Party,-0.134,0.709
