name,partido,x,y
"DUNCAN, Robert Blackford",Democratic Party,-0.341,0.409
"McEWEN, Robert Cameron",Republican Party,0.234,-0.052
"MAHON, George Herman",Democratic Party,-0.168,0.867
"QUIE, Albert Harold",Republican Party,0.189,-0.386
"CRANE, Philip Miller",Republican Party,0.739,0.023
"DOWNING, Thomas Nelms",Democratic Party,-0.065,0.741
"OBERSTAR, James Louis",Democratic Party,-0.553,0.304
"BIAGGI, Mario",Democratic Party,-0.339,0.197
"JONES, Ed",Democratic Party,-0.245,0.827
"FARY, John G.",Democratic Party,-0.451,0.47
"MELCHER, John",Democratic Party,-0.329,0.398
"LaFALCE, John Joseph",Democratic Party,-0.357,0.112
"JACOBS, Andrew, Jr.",Democratic Party,-0.07,-0.846
"UDALL, Morris King",Democratic Party,-0.387,0.008
"BRINKLEY, Jack Thomas",Democratic Party,-0.073,0.701
"PETTIS, Shirley Neil",Republican Party,0.209,-0.179
"MONTGOMERY, Gillespie V. (Sonny)",Democratic Party,0.017,1.0
"HOWARD, James John",Democratic Party,-0.431,-0.018
"HAWKINS, Augustus Freeman (Gus)",Democratic Party,-0.517,-0.369
"HALEY, James Andrew",Democratic Party,0.098,0.694
"CLANCY, Donald Daniel",Republican Party,0.403,-0.002
"STOKES, Louis",Democratic Party,-0.578,-0.312
"ROSTENKOWSKI, Daniel David",Democratic Party,-0.39,0.246
"SNYDER, Marion Gene",Republican Party,0.26,0.298
"BERGLAND, Robert Selmer",Democratic Party,-0.38,0.021
"PRESSLER, Larry Lee",Republican Party,0.213,-0.259
"HAMILTON, Lee Herbert",Democratic Party,-0.171,-0.053
"GAYDOS, Joseph Matthew",Democratic Party,-0.278,0.398
"TALCOTT, Burt Lacklen",Republican Party,0.25,-0.115
"ASHLEY, Thomas William Ludlow",Democratic Party,-0.35,-0.049
"McHUGH, Matthew Francis",Democratic Party,-0.353,-0.227
"BEARD, Robin Leo, Jr.",Republican Party,0.297,0.34
"SIKES, Robert Lee Fulton",Democratic Party,-0.128,0.926
"COLLINS, Cardiss",Democratic Party,-0.552,-0.218
"VAN DEERLIN, Lionel",Democratic Party,-0.401,-0.005
"CARR, Milton Robert (Bob)",Democratic Party,-0.254,-0.342
"WALSH, William Francis",Republican Party,0.068,-0.092
"ALLEN, Clifford Robertson",Democratic Party,-0.257,0.107
