name,partido,x,y
"LaFALCE, John Joseph",Democratic Party,-0.357,0.112
"THOMPSON, Frank, Jr.",Democratic Party,-0.511,-0.165
"CLAUSEN, Donald Holst",Republican Party,0.16,0.036
"DANIELSON, George Elmore",Democratic Party,-0.477,0.256
"BIAGGI, Mario",Democratic Party,-0.339,0.197
"SULLIVAN, Leonor Kretzer",Democratic Party,-0.386,0.299
"DELANEY, James Joseph",Democratic Party,-0.303,0.199
"MURPHY, Morgan Francis",Democratic Party,-0.399,0.277
"JOHNSON, Harold Terry",Democratic Party,-0.439,0.503
"BUCHANAN, John Hall, Jr.",Republican Party,0.146,-0.118
"EVANS, Frank Edward",Democratic Party,-0.331,0.121
"PICKLE, James Jarrell (Jake)",Democratic Party,-0.218,0.523
"PATTEN, Edward James",Democratic Party,-0.424,0.243
"ANNUNZIO, Frank",Democratic Party,-0.398,0.351
"WIRTH, Timothy E.",Democratic Party,-0.293,-0.315
"BROWN, George Edward, Jr.",Democratic Party,-0.506,-0.028
"RONCALIO, Teno",Democratic Party,-0.457,0.403
"NEDZI, Lucien Norbert",Democratic Party,-0.427,0.002
"BLOUIN, Michael Thomas",Democratic Party,-0.288,-0.407
"HICKS, Floyd Verne",Democratic Party,-0.414,0.377
"HUBBARD, Carroll, Jr.",Democratic Party,-0.038,0.476
"HORTON, Frank Jefferson",Republican Party,-0.004,-0.359
"LONG, Clarence Dickinson",Democratic Party,-0.274,0.098
"MEZVINSKY, Edward Maurice",Democratic Party,-0.414,-0.378
"GIBBONS, Sam Melville",Democratic Party,-0.233,0.17
"BONKER, Don Leroy",Democratic Party,-0.336,-0.059
"FITHIAN, Floyd James",Democratic Party,-0.165,-0.061
"SHARP, Philip Riley",Democratic Party,-0.166,-0.283
"WAMPLER, William Creed",Republican Party,0.146,0.212
"NOWAK, Henry James",Democratic Party,-0.332,-0.123
"RANGEL, Charles B.",Democratic Party,-0.514,-0.341
"SYMINGTON, James Wadsworth",Democratic Party,-0.331,0.076
"BLANCHARD, James Johnston",Democratic Party,-0.352,-0.143
"MINETA, Norman Y.",Democratic Party,-0.479,-0.01
"VANIK, Charles Albert",Democratic Party,-0.366,-0.374
"JONES, James Robert",Democratic Party,-0.095,0.444
"SHRIVER, Garner E.",Republican Party,0.175,-0.06
"NIX, Robert Nelson Cornelius, Sr.",Democratic Party,-0.536,0.141
"RYAN, Leo Joseph",Democratic Party,-0.364,0.001
"STRATTON, Samuel Studdiford",Democratic Party,-0.139,0.208
"ADAMS, Brockman (Brock)",Democratic Party,-0.396,-0.127
"YATRON, Gus",Democratic Party,-0.174,0.094
"SISK, Bernice Frederic",Democratic Party,-0.388,0.52
"O'NEILL, Thomas Philip, Jr. (Tip)",Democratic Party,-0.402,0.058
"HAYES, Philip Harold",Democratic Party,-0.384,-0.126
"REES, Thomas Mankell",Democratic Party,-0.484,-0.273
"DUNCAN, Robert Blackford",Democratic Party,-0.341,0.409
"DODD, Christopher John",Democratic Party,-0.328,-0.317
"METCALFE, Ralph Harold",Democratic Party,-0.564,-0.144
"WAXMAN, Henry Arnold",Democratic Party,-0.473,-0.343
"ST. GERMAIN, Fernand Joseph",Democratic Party,-0.355,-0.091
"FISHER, Joseph Lyman",Democratic Party,-0.298,-0.22
"MILLER, George",Democratic Party,-0.552,-0.398
"HANNAFORD, Mark Warren",Democratic Party,-0.295,-0.043
"McKAY, Koln Gunn",Democratic Party,-0.254,0.545
"PATTISON, Edward Worthington",Democratic Party,-0.323,-0.4
"CARTER, Tim Lee",Republican Party,0.08,0.147
"CARNEY, Charles Joseph",Democratic Party,-0.479,0.292
"MOTTL, Ronald Milton",Democratic Party,0.021,-0.29
"FOLEY, Thomas Stephen",Democratic Party,-0.354,0.192
"ULLMAN, Albert Conrad",Democratic Party,-0.367,0.405
"PRICE, Charles Melvin",Democratic Party,-0.429,0.346
"WOLFF, Lester Lionel",Democratic Party,-0.264,-0.293
"EVANS, David Walter",Democratic Party,-0.054,0.003
"HANLEY, James Michael",Democratic Party,-0.306,0.147
"SOLARZ, Stephen Joshua",Democratic Party,-0.429,-0.258
"STOKES, Louis",Democratic Party,-0.578,-0.312
"COLLINS, Cardiss",Democratic Party,-0.552,-0.218
"LEGGETT, Robert Louis",Democratic Party,-0.468,0.158
"HAWKINS, Augustus Freeman (Gus)",Democratic Party,-0.517,-0.369
"ALLEN, Clifford Robertson",Democratic Party,-0.257,0.107
"MORGAN, Thomas Ellsworth",Democratic Party,-0.396,0.226
"HILLIS, Elwood Haynes",Republican Party,0.173,-0.106
"PREYER, Lunsford Richardson",Democratic Party,-0.27,0.33
"SHIPLEY, George Edward",Democratic Party,-0.284,0.515
"EARLY, Joseph Daniel",Democratic Party,-0.254,-0.409
"BINGHAM, Jonathan Brewster",Democratic Party,-0.509,-0.488
"STAGGERS, Harley Orrin",Democratic Party,-0.345,0.326
"BALDUS, Alvin James",Democratic Party,-0.383,-0.069
"YOUNG, Andrew Jackson, Jr.",Democratic Party,-0.589,-0.162
"ZEFERETTI, Leo C.",Democratic Party,-0.305,0.285
"BOLLING, Richard Walker",Democratic Party,-0.504,0.171
"PEYSER, Peter A.",Republican Party,-0.055,-0.314
"ROE, Robert A.",Democratic Party,-0.326,0.123
"VAN DEERLIN, Lionel",Democratic Party,-0.401,-0.005
"ASHLEY, Thomas William Ludlow",Democratic Party,-0.35,-0.049
"FORD, William David",Democratic Party,-0.516,0.098
"MELCHER, John",Democratic Party,-0.329,0.398
"HAMILTON, Lee Herbert",Democratic Party,-0.171,-0.053
"SKUBITZ, Joe",Republican Party,0.189,0.08
"SARBANES, Paul Spyros",Democratic Party,-0.435,-0.221
"McFALL, John Joseph",Democratic Party,-0.468,0.442
"ROSE, Charles Grandison, III",Democratic Party,-0.319,0.573
"MOSS, John Emerson",Democratic Party,-0.582,0.191
"BEARD, Edward Peter",Democratic Party,-0.286,-0.028
"SLACK, John Mark, Jr.",Democratic Party,-0.281,0.568
"DANIELS, Dominick Vincent",Democratic Party,-0.386,0.1
"CORNELL, Robert John",Democratic Party,-0.324,-0.366
"DENT, John Herman",Democratic Party,-0.384,0.445
"BOGGS, Corinne Claiborne (Lindy)",Democratic Party,-0.359,0.501
"BURKE, Yvonne Brathwaite",Democratic Party,-0.576,-0.177
"KREBS, John Hans",Democratic Party,-0.279,-0.12
"MURPHY, John Michael",Democratic Party,-0.406,0.386
"HOLLAND, Kenneth Lamar",Democratic Party,-0.246,0.523
"UDALL, Morris King",Democratic Party,-0.387,0.008
"BURKE, James Anthony",Democratic Party,-0.4,0.152
"VIGORITO, Joseph Phillip",Democratic Party,-0.311,0.216
"AuCOIN, Les",Democratic Party,-0.231,-0.418
"BRADEMAS, John",Democratic Party,-0.462,-0.061
"MINK, Patsy Takemoto",Democratic Party,-0.513,-0.067
"KASTENMEIER, Robert William",Democratic Party,-0.514,-0.452
"ECKHARDT, Robert Christian",Democratic Party,-0.547,-0.06
"MAZZOLI, Romano Louis",Democratic Party,-0.186,-0.016
