name,partido,x,y
"SYMINGTON, James Wadsworth",Democratic Party,-0.331,0.076
"SCHULZE, Richard Taylor",Republican Party,0.271,-0.036
"ALLEN, Clifford Robertson",Democratic Party,-0.257,0.107
"SOLARZ, Stephen Joshua",Democratic Party,-0.429,-0.258
"ROE, Robert A.",Democratic Party,-0.326,0.123
"NICHOLS, William Flynt",Democratic Party,-0.042,0.872
"MELCHER, John",Democratic Party,-0.329,0.398
"BINGHAM, Jonathan Brewster",Democratic Party,-0.509,-0.488
"WHITE, Richard Crawford",Democratic Party,-0.137,0.601
"BURKE, J. Herbert",Republican Party,0.241,0.071
"REGULA, Ralph Straus",Republican Party,0.221,-0.223
"BUCHANAN, John Hall, Jr.",Republican Party,0.146,-0.118
"HEFNER, Willie Gathrel (Bill)",Democratic Party,-0.264,0.609
"BROYHILL, James Thomas",Republican Party,0.269,0.021
"SIKES, Robert Lee Fulton",Democratic Party,-0.128,0.926
"WIRTH, Timothy E.",Democratic Party,-0.293,-0.315
"KASTENMEIER, Robert William",Democratic Party,-0.514,-0.452
"CARTER, Tim Lee",Republican Party,0.08,0.147
"LONG, Clarence Dickinson",Democratic Party,-0.274,0.098
"TREEN, David Conner",Republican Party,0.34,0.189
"QUILLEN, James Henry",Republican Party,0.246,0.23
"MIKVA, Abner Joseph",Democratic Party,-0.441,-0.55
"EVANS, David Walter",Democratic Party,-0.054,0.003
"KREBS, John Hans",Democratic Party,-0.279,-0.12
"MOLLOHAN, Robert Homer",Democratic Party,-0.349,0.586
"LLOYD, James Fredrick",Democratic Party,-0.218,-0.032
"COCHRAN, William Thad",Republican Party,0.287,0.051
"ZEFERETTI, Leo C.",Democratic Party,-0.305,0.285
"SISK, Bernice Frederic",Democratic Party,-0.388,0.52
"ZABLOCKI, Clement John",Democratic Party,-0.355,0.293
"O'BRIEN, George Miller",Republican Party,0.169,-0.132
"MURTHA, John Patrick, Jr.",Democratic Party,-0.265,0.569
"UDALL, Morris King",Democratic Party,-0.387,0.008
"MOTTL, Ronald Milton",Democratic Party,0.021,-0.29
"LUNDINE, Stanley Nelson",Democratic Party,-0.31,-0.273
"CLANCY, Donald Daniel",Republican Party,0.403,-0.002
"HUGHES, William John",Democratic Party,-0.153,-0.204
"KARTH, Joseph Edward",Democratic Party,-0.386,-0.025
"ADDABBO, Joseph Patrick",Democratic Party,-0.402,-0.084
"GIAIMO, Robert Nicholas",Democratic Party,-0.318,0.093
"CORNELL, Robert John",Democratic Party,-0.324,-0.366
"RINALDO, Matthew John",Republican Party,0.023,-0.392
"BEARD, Edward Peter",Democratic Party,-0.286,-0.028
"McCOLLISTER, John Yetter",Republican Party,0.289,0.015
"ROUSH, John Edward",Democratic Party,-0.233,0.158
"WHALEN, Charles William, Jr.",Republican Party,-0.139,-0.714
"BYRON, Goodloe Edgar",Democratic Party,-0.014,0.513
