name,partido,x,y
"BUTLER, Manley Caldwell",Republican Party,0.332,-0.06
"McKAY, Koln Gunn",Democratic Party,-0.254,0.545
"HECHLER, Kenneth William",Democratic Party,-0.31,-0.292
"MADIGAN, Edward Rell",Republican Party,0.247,-0.396
"LATTA, Delbert Leroy",Republican Party,0.391,-0.084
"McEWEN, Robert Cameron",Republican Party,0.234,-0.052
"O'BRIEN, George Miller",Republican Party,0.169,-0.132
"ROSENTHAL, Benjamin Stanley",Democratic Party,-0.562,-0.491
"SNYDER, Marion Gene",Republican Party,0.26,0.298
"NEDZI, Lucien Norbert",Democratic Party,-0.427,0.002
"MOLLOHAN, Robert Homer",Democratic Party,-0.349,0.586
"RUSSO, Martin Anthony",Democratic Party,-0.192,-0.209
"STEELMAN, Alan Watson",Republican Party,0.255,-0.385
"HUTCHINSON, J. Edward",Republican Party,0.444,-0.036
"SYMMS, Steven Douglas",Republican Party,0.687,0.355
"ROUSH, John Edward",Democratic Party,-0.233,0.158
"YOUNG, Donald Edwin",Republican Party,0.283,0.022
"RICHMOND, Frederick William",Democratic Party,-0.564,-0.556
"HAMMERSCHMIDT, John Paul",Republican Party,0.253,0.239
"HALL, Sam Blakeley, Jr.",Democratic Party,0.054,0.936
"MILLER, Clarence E.",Republican Party,0.416,-0.304
"CONLAN, John Bertrand",Republican Party,0.531,0.026
"MINK, Patsy Takemoto",Democratic Party,-0.513,-0.067
"JENRETTE, John Wilson, Jr.",Democratic Party,-0.316,0.677
"LONG, Clarence Dickinson",Democratic Party,-0.274,0.098
"THOMPSON, Frank, Jr.",Democratic Party,-0.511,-0.165
"SULLIVAN, Leonor Kretzer",Democratic Party,-0.386,0.299
"NEAL, Stephen Lybrook",Democratic Party,-0.145,0.112
"HINSHAW, Andrew Jackson",Republican Party,0.265,0.011
"PATTISON, Edward Worthington",Democratic Party,-0.323,-0.4
"BROWN, Clarence J., Jr.",Republican Party,0.3,-0.284
"QUIE, Albert Harold",Republican Party,0.189,-0.386
"WINN, Edward Lawrence, Jr. (Larry)",Republican Party,0.247,-0.033
"STEIGER, William Albert",Republican Party,0.336,-0.76
"BONKER, Don Leroy",Democratic Party,-0.336,-0.059
"KETCHUM, William Matthew",Republican Party,0.348,0.246
"SMITH, Neal Edward",Democratic Party,-0.313,0.174
"PERKINS, Carl Dewey",Democratic Party,-0.343,0.332
"HUNGATE, William Leonard",Democratic Party,-0.332,0.433
"DENT, John Herman",Democratic Party,-0.384,0.445
