name,partido,x,y
"FUQUA, Don",Democratic Party,-0.173,0.715
"GUYER, Tennyson",Republican Party,0.217,-0.059
"BUTLER, Manley Caldwell",Republican Party,0.332,-0.06
"HOLT, Marjorie Sewell",Republican Party,0.368,0.061
"BAFALIS, Louis Arthur (Skip)",Republican Party,0.303,0.078
"FARY, John G.",Democratic Party,-0.451,0.47
"PICKLE, James Jarrell (Jake)",Democratic Party,-0.218,0.523
"HUTCHINSON, J. Edward",Republican Party,0.444,-0.036
"HARKIN, Thomas Richard (Tom)",Democratic Party,-0.351,-0.546
"DERRICK, Butler Carson, Jr.",Democratic Party,-0.215,0.258
"ROSENTHAL, Benjamin Stanley",Democratic Party,-0.562,-0.491
"FOLEY, Thomas Stephen",Democratic Party,-0.354,0.192
"MINK, Patsy Takemoto",Democratic Party,-0.513,-0.067
"BEARD, Robin Leo, Jr.",Republican Party,0.297,0.34
"RISENHOOVER, Theodore Marshall",Democratic Party,-0.214,0.826
"McFALL, John Joseph",Democratic Party,-0.468,0.442
"ROBINSON, James Kenneth",Republican Party,0.333,0.377
"WEAVER, James Howard",Democratic Party,-0.311,-0.578
"TRAXLER, Jerome Bob",Democratic Party,-0.33,0.126
"ZEFERETTI, Leo C.",Democratic Party,-0.305,0.285
"MURPHY, Morgan Francis",Democratic Party,-0.399,0.277
"PERKINS, Carl Dewey",Democratic Party,-0.343,0.332
"LONG, Gillis William",Democratic Party,-0.368,0.604
"QUIE, Albert Harold",Republican Party,0.189,-0.386
"DUNCAN, John James",Republican Party,0.194,0.21
"GRASSLEY, Charles Ernest",Republican Party,0.361,-0.036
"McDADE, Joseph Michael",Republican Party,0.093,-0.355
"RANDALL, William Joseph",Democratic Party,-0.184,0.568
"FASCELL, Dante Bruno",Democratic Party,-0.4,0.229
"WILSON, Charles",Democratic Party,-0.196,0.474
"MOAKLEY, John Joseph",Democratic Party,-0.418,-0.054
"DOWNING, Thomas Nelms",Democratic Party,-0.065,0.741
"PATTISON, Edward Worthington",Democratic Party,-0.323,-0.4
"NEDZI, Lucien Norbert",Democratic Party,-0.427,0.002
"SHRIVER, Garner E.",Republican Party,0.175,-0.06
"RHODES, John Jacob",Republican Party,0.225,-0.033
"PEPPER, Claude Denson",Democratic Party,-0.422,0.357
"MURTHA, John Patrick, Jr.",Democratic Party,-0.265,0.569
"BALDUS, Alvin James",Democratic Party,-0.383,-0.069
"SARBANES, Paul Spyros",Democratic Party,-0.435,-0.221
"BURKE, James Anthony",Democratic Party,-0.4,0.152
"STAGGERS, Harley Orrin",Democratic Party,-0.345,0.326
"HALEY, James Andrew",Democratic Party,0.098,0.694
"JOHNSON, Harold Terry",Democratic Party,-0.439,0.503
"ESHLEMAN, Edwin Duing",Republican Party,0.276,-0.156
"LUNDINE, Stanley Nelson",Democratic Party,-0.31,-0.273
"STANTON, John William",Republican Party,0.135,-0.31
"OBERSTAR, James Louis",Democratic Party,-0.553,0.304
"EVANS, David Walter",Democratic Party,-0.054,0.003
"AMBRO, Jerome Anthony, Jr.",Democratic Party,-0.19,-0.098
"McCLORY, Robert",Republican Party,0.256,-0.426
"KREBS, John Hans",Democratic Party,-0.279,-0.12
"NEAL, Stephen Lybrook",Democratic Party,-0.145,0.112
"NOWAK, Henry James",Democratic Party,-0.332,-0.123
"VANDER JAGT, Guy Adrian",Republican Party,0.247,-0.226
"PRICE, Charles Melvin",Democratic Party,-0.429,0.346
"KETCHUM, William Matthew",Republican Party,0.348,0.246
"SANTINI, James David",Democratic Party,-0.074,0.132
"D'AMOURS, Norman Edward",Democratic Party,-0.17,-0.19
"FITHIAN, Floyd James",Democratic Party,-0.165,-0.061
"SEBELIUS, Keith George",Republican Party,0.277,0.134
"HALL, Sam Blakeley, Jr.",Democratic Party,0.054,0.936
"PEYSER, Peter A.",Republican Party,-0.055,-0.314
"SYMINGTON, James Wadsworth",Democratic Party,-0.331,0.076
"YOUNG, Charles William (Bill)",Republican Party,0.325,-0.112
"BYRON, Goodloe Edgar",Democratic Party,-0.014,0.513
"LONG, Clarence Dickinson",Democratic Party,-0.274,0.098
"COTTER, William Ross",Democratic Party,-0.313,0.103
"CEDERBERG, Elford Albin",Republican Party,0.27,-0.144
"ANDREWS, Mark",Republican Party,0.087,-0.024
"DODD, Christopher John",Democratic Party,-0.328,-0.317
"TREEN, David Conner",Republican Party,0.34,0.189
"BURGENER, Clair Walter",Republican Party,0.281,0.019
"WALSH, William Francis",Republican Party,0.068,-0.092
"MILFORD, Dale",Democratic Party,0.012,0.639
"REGULA, Ralph Straus",Republican Party,0.221,-0.223
"BURTON, John Lowell",Democratic Party,-0.413,-0.783
"ALLEN, Clifford Robertson",Democratic Party,-0.257,0.107
"LANDRUM, Phillip Mitchell",Democratic Party,-0.134,0.991
"BERGLAND, Robert Selmer",Democratic Party,-0.38,0.021
"HINSHAW, Andrew Jackson",Republican Party,0.265,0.011
"HOLLAND, Kenneth Lamar",Democratic Party,-0.246,0.523
"DELANEY, James Joseph",Democratic Party,-0.303,0.199
"KOCH, Edward Irving",Democratic Party,-0.464,-0.657
"HARSHA, William Howard",Republican Party,0.188,0.122
"WAMPLER, William Creed",Republican Party,0.146,0.212
"MOTTL, Ronald Milton",Democratic Party,0.021,-0.29
"HORTON, Frank Jefferson",Republican Party,-0.004,-0.359
"DANIELS, Dominick Vincent",Democratic Party,-0.386,0.1
"SMITH, Neal Edward",Democratic Party,-0.313,0.174
"ANNUNZIO, Frank",Democratic Party,-0.398,0.351
"VANDER VEEN, Richard Franklin",Democratic Party,-0.364,-0.145
"BEDELL, Berkley Warren",Democratic Party,-0.24,-0.595
"WRIGHT, James Claude, Jr.",Democratic Party,-0.383,0.672
"O'NEILL, Thomas Philip, Jr. (Tip)",Democratic Party,-0.402,0.058
"STANTON, James Vincent",Democratic Party,-0.305,0.026
"VIGORITO, Joseph Phillip",Democratic Party,-0.311,0.216
"BROWN, Clarence J., Jr.",Republican Party,0.3,-0.284
"HEINZ, Henry John, III",Republican Party,0.078,-0.735
"LaFALCE, John Joseph",Democratic Party,-0.357,0.112
"WIRTH, Timothy E.",Democratic Party,-0.293,-0.315
"COCHRAN, William Thad",Republican Party,0.287,0.051
"HUGHES, William John",Democratic Party,-0.153,-0.204
"JENRETTE, John Wilson, Jr.",Democratic Party,-0.316,0.677
"HAMILTON, Lee Herbert",Democratic Party,-0.171,-0.053
"DEVINE, Samuel Leeper",Republican Party,0.502,0.074
"WILSON, Robert Carlton (Bob)",Republican Party,0.264,-0.265
"PREYER, Lunsford Richardson",Democratic Party,-0.27,0.33
"HANLEY, James Michael",Democratic Party,-0.306,0.147
"McHUGH, Matthew Francis",Democratic Party,-0.353,-0.227
"SNYDER, Marion Gene",Republican Party,0.26,0.298
"BURKE, J. Herbert",Republican Party,0.241,0.071
"MOSS, John Emerson",Democratic Party,-0.582,0.191
"THONE, Charles",Republican Party,0.192,-0.134
"MILLER, Clarence E.",Republican Party,0.416,-0.304
"CARNEY, Charles Joseph",Democratic Party,-0.479,0.292
"PIKE, Otis Grey",Democratic Party,-0.162,-0.125
"SLACK, John Mark, Jr.",Democratic Party,-0.281,0.568
"BEARD, Edward Peter",Democratic Party,-0.286,-0.028
"O'BRIEN, George Miller",Republican Party,0.169,-0.132
"HANNAFORD, Mark Warren",Democratic Party,-0.295,-0.043
"McEWEN, Robert Cameron",Republican Party,0.234,-0.052
"JOHNSON, Albert Walter",Republican Party,0.197,-0.021
"OBEY, David Ross",Democratic Party,-0.45,-0.063
"BRADEMAS, John",Democratic Party,-0.462,-0.061
"HILLIS, Elwood Haynes",Republican Party,0.173,-0.106
"WHITE, Richard Crawford",Democratic Party,-0.137,0.601
"ADAMS, Brockman (Brock)",Democratic Party,-0.396,-0.127
"LLOYD, James Fredrick",Democratic Party,-0.218,-0.032
"EVANS, Frank Edward",Democratic Party,-0.331,0.121
"SULLIVAN, Leonor Kretzer",Democratic Party,-0.386,0.299
"DELLUMS, Ronald V.",Democratic Party,-0.644,-0.646
"MINISH, Joseph George",Democratic Party,-0.299,-0.098
"MORGAN, Thomas Ellsworth",Democratic Party,-0.396,0.226
"RUSSO, Martin Anthony",Democratic Party,-0.192,-0.209
"KELLY, Richard",Republican Party,0.504,0.078
"JONES, James Robert",Democratic Party,-0.095,0.444
