name,partido,x,y
"FLYNT, John James, Jr.",Democratic Party,0.0,1.0
"MILLER, Clarence E.",Republican Party,0.416,-0.304
"EARLY, Joseph Daniel",Democratic Party,-0.254,-0.409
"HOLT, Marjorie Sewell",Republican Party,0.368,0.061
"BIAGGI, Mario",Democratic Party,-0.339,0.197
"WINN, Edward Lawrence, Jr. (Larry)",Republican Party,0.247,-0.033
"BURTON, Phillip",Democratic Party,-0.634,-0.304
"BURLESON, Omar Truman",Democratic Party,0.002,1.0
"PIKE, Otis Grey",Democratic Party,-0.162,-0.125
"DODD, Christopher John",Democratic Party,-0.328,-0.317
"MAZZOLI, Romano Louis",Democratic Party,-0.186,-0.016
"HAYES, Philip Harold",Democratic Party,-0.384,-0.126
"MIKVA, Abner Joseph",Democratic Party,-0.441,-0.55
"JARMAN, John",Republican Party,0.206,0.426
"MEYNER, Helen Stevenson",Democratic Party,-0.411,-0.262
"YOUNG, Donald Edwin",Republican Party,0.283,0.022
"FARY, John G.",Democratic Party,-0.451,0.47
"STEELMAN, Alan Watson",Republican Party,0.255,-0.385
"MELCHER, John",Democratic Party,-0.329,0.398
"MILFORD, Dale",Democratic Party,0.012,0.639
"TSONGAS, Paul Efthemios",Democratic Party,-0.383,-0.498
"VAN DEERLIN, Lionel",Democratic Party,-0.401,-0.005
"FISHER, Joseph Lyman",Democratic Party,-0.298,-0.22
"EDWARDS, William Donlon (Don)",Democratic Party,-0.599,-0.419
"O'BRIEN, George Miller",Republican Party,0.169,-0.132
"PATTEN, Edward James",Democratic Party,-0.424,0.243
"BUTLER, Manley Caldwell",Republican Party,0.332,-0.06
"BURKE, James Anthony",Democratic Party,-0.4,0.152
"ANDERSON, Glenn Malcolm",Democratic Party,-0.269,-0.052
"ROONEY, Frederick Bernard",Democratic Party,-0.35,0.181
"PEPPER, Claude Denson",Democratic Party,-0.422,0.357
"FINDLEY, Paul",Republican Party,0.246,-0.525
"GONZÁLEZ, Henry B.",Democratic Party,-0.538,0.558
"DRINAN, Robert Frederick",Democratic Party,-0.422,-0.71
"CRANE, Philip Miller",Republican Party,0.739,0.023
"ASHBROOK, John Milan",Republican Party,0.612,0.239
"BURKE, Yvonne Brathwaite",Democratic Party,-0.576,-0.177
"ROUSH, John Edward",Democratic Party,-0.233,0.158
"LAGOMARSINO, Robert John",Republican Party,0.378,-0.267
"MOTTL, Ronald Milton",Democratic Party,0.021,-0.29
"LEVITAS, Elliott Harris",Democratic Party,-0.056,0.075
"BLANCHARD, James Johnston",Democratic Party,-0.352,-0.143
"SARBANES, Paul Spyros",Democratic Party,-0.435,-0.221
"BEARD, Edward Peter",Democratic Party,-0.286,-0.028
"DUNCAN, Robert Blackford",Democratic Party,-0.341,0.409
"COUGHLIN, Robert Lawrence",Republican Party,0.204,-0.844
"STEED, Thomas Jefferson",Democratic Party,-0.279,0.776
"GRASSLEY, Charles Ernest",Republican Party,0.361,-0.036
"ESHLEMAN, Edwin Duing",Republican Party,0.276,-0.156
"MURPHY, John Michael",Democratic Party,-0.406,0.386
"RUNNELS, Harold Lowell",Democratic Party,0.091,0.665
"HARRIS, Herbert Eugene, II",Democratic Party,-0.324,-0.27
"BAUMAN, Robert Edmund",Republican Party,0.533,-0.116
"ST. GERMAIN, Fernand Joseph",Democratic Party,-0.355,-0.091
"SYMMS, Steven Douglas",Republican Party,0.687,0.355
"CEDERBERG, Elford Albin",Republican Party,0.27,-0.144
"ADAMS, Brockman (Brock)",Democratic Party,-0.396,-0.127
"LUJÁN, Manuel, Jr.",Republican Party,0.272,-0.059
"DUNCAN, John James",Republican Party,0.194,0.21
"HELSTOSKI, Henry",Democratic Party,-0.484,-0.348
"MOLLOHAN, Robert Homer",Democratic Party,-0.349,0.586
"WOLFF, Lester Lionel",Democratic Party,-0.264,-0.293
"BRECKINRIDGE, John Bayne",Democratic Party,-0.223,0.198
"OBEY, David Ross",Democratic Party,-0.45,-0.063
"AMBRO, Jerome Anthony, Jr.",Democratic Party,-0.19,-0.098
"WALSH, William Francis",Republican Party,0.068,-0.092
"NEAL, Stephen Lybrook",Democratic Party,-0.145,0.112
"WILSON, Robert Carlton (Bob)",Republican Party,0.264,-0.265
"WHITE, Richard Crawford",Democratic Party,-0.137,0.601
"AuCOIN, Les",Democratic Party,-0.231,-0.418
"KINDNESS, Thomas Norman",Republican Party,0.419,-0.051
"COLLINS, Cardiss",Democratic Party,-0.552,-0.218
"BEVILL, Tom",Democratic Party,-0.213,0.976
"ANDERSON, John Bayard",Republican Party,0.183,-0.554
"RINALDO, Matthew John",Republican Party,0.023,-0.392
"NOWAK, Henry James",Democratic Party,-0.332,-0.123
"REGULA, Ralph Straus",Republican Party,0.221,-0.223
"COTTER, William Ross",Democratic Party,-0.313,0.103
"SNYDER, Marion Gene",Republican Party,0.26,0.298
"HANNAFORD, Mark Warren",Democratic Party,-0.295,-0.043
"FOLEY, Thomas Stephen",Democratic Party,-0.354,0.192
"McFALL, John Joseph",Democratic Party,-0.468,0.442
"MITCHELL, Parren James",Democratic Party,-0.526,-0.851
"RHODES, John Jacob",Republican Party,0.225,-0.033
"MURTHA, John Patrick, Jr.",Democratic Party,-0.265,0.569
"THORNTON, Raymond Hoyt (Ray), Jr.",Democratic Party,-0.306,0.635
"FRASER, Donald MacKay",Democratic Party,-0.469,-0.466
"CLAWSON, Delwin Morgan",Republican Party,0.483,0.132
"O'HARA, James Grant",Democratic Party,-0.45,0.127
"MITCHELL, Donald Jerome",Republican Party,0.097,-0.163
"PATTERSON, Jerry Mumford",Democratic Party,-0.367,0.007
"WAXMAN, Henry Arnold",Democratic Party,-0.473,-0.343
"DAVIS, Mendel Jackson",Democratic Party,-0.245,0.689
"SANTINI, James David",Democratic Party,-0.074,0.132
"BROYHILL, James Thomas",Republican Party,0.269,0.021
"SMITH, Virginia Dodd",Republican Party,0.238,0.033
"ROUSSELOT, John Harbin",Republican Party,0.601,0.164
"MEEDS, Edwin Lloyd",Democratic Party,-0.453,0.149
"STRATTON, Samuel Studdiford",Democratic Party,-0.139,0.208
"STARK, Fortney Hillman (Pete), Jr.",Democratic Party,-0.631,-0.605
"KAZEN, Abraham, Jr.",Democratic Party,-0.219,0.747
"BRODHEAD, William McNulty",Democratic Party,-0.463,-0.427
"SYMINGTON, James Wadsworth",Democratic Party,-0.331,0.076
"CARNEY, Charles Joseph",Democratic Party,-0.479,0.292
"FORD, Harold Eugene",Democratic Party,-0.438,-0.064
"ASPIN, Leslie",Democratic Party,-0.32,-0.125
"ABDNOR, James",Republican Party,0.241,0.129
"McCORMACK, Mike",Democratic Party,-0.348,0.282
"WHITEHURST, George William",Republican Party,0.233,0.06
"ROSE, Charles Grandison, III",Democratic Party,-0.319,0.573
"MEZVINSKY, Edward Maurice",Democratic Party,-0.414,-0.378
"RANGEL, Charles B.",Democratic Party,-0.514,-0.341
"BOGGS, Corinne Claiborne (Lindy)",Democratic Party,-0.359,0.501
"DENT, John Herman",Democratic Party,-0.384,0.445
"BONKER, Don Leroy",Democratic Party,-0.336,-0.059
"HOWE, Allan Turner",Democratic Party,-0.309,0.339
"EVANS, Frank Edward",Democratic Party,-0.331,0.121
"MADIGAN, Edward Rell",Republican Party,0.247,-0.396
"GRADISON, Willis David, Jr.",Republican Party,0.233,-0.338
"GIAIMO, Robert Nicholas",Democratic Party,-0.318,0.093
"ESCH, Marvin Leonel",Republican Party,0.134,-0.529
"GIBBONS, Sam Melville",Democratic Party,-0.233,0.17
"EDWARDS, William Jackson (Jack)",Republican Party,0.177,0.161
"SHARP, Philip Riley",Democratic Party,-0.166,-0.283
"KELLY, Richard",Republican Party,0.504,0.078
"SULLIVAN, Leonor Kretzer",Democratic Party,-0.386,0.299
"RONCALIO, Teno",Democratic Party,-0.457,0.403
"ADDABBO, Joseph Patrick",Democratic Party,-0.402,-0.084
"SIMON, Paul Martin",Democratic Party,-0.397,-0.224
"JORDAN, Barbara Charline",Democratic Party,-0.522,0.253
"WYLIE, Chalmers Pangburn",Republican Party,0.23,-0.13
"ROSTENKOWSKI, Daniel David",Democratic Party,-0.39,0.246
"SCHULZE, Richard Taylor",Republican Party,0.271,-0.036
"YATES, Sidney Richard",Democratic Party,-0.494,-0.494
"VIGORITO, Joseph Phillip",Democratic Party,-0.311,0.216
"HALL, Tim Lee",Democratic Party,-0.36,0.044
"BAUCUS, Max Sieben",Democratic Party,-0.212,0.017
"MOAKLEY, John Joseph",Democratic Party,-0.418,-0.054
"LLOYD, James Fredrick",Democratic Party,-0.218,-0.032
"WILSON, Charles Herbert",Democratic Party,-0.39,0.357
"JONES, James Robert",Democratic Party,-0.095,0.444
